id,name,theme,base_color,secondary_color,accent_style,neutral_tone,description,is_sunburst_exclusive,product_sku,created_at
c_csv_29_5855,Sunburst 005-6 Royal Iris,Signature Palette,#6A4F7F,#AD9EB8,#443352,#E8E4EB,Professional coordinating Sunburst color palette featuring 005-6 Royal Iris. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-900W-135,2026-06-10T18:33:15.855Z
c_csv_30_5855,Sunburst 006-1 Purple Please,Signature Palette,#EEEAE8,#F5F3F2,#9A9896,#FCFBFB,Professional coordinating Sunburst color palette featuring 006-1 Purple Please. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-900C-136,2026-06-10T18:33:15.855Z
c_csv_31_5855,Sunburst 006-2 Dusty Pansy,Signature Palette,#E0D9DF,#EDEAED,#918D90,#FAF9FA,Professional coordinating Sunburst color palette featuring 006-2 Dusty Pansy. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-900W-137,2026-06-10T18:33:15.855Z
c_csv_32_5855,Sunburst 006-3 Plum Fun,Signature Palette,#D2C8D3,#E6E0E6,#888289,#F8F6F8,Professional coordinating Sunburst color palette featuring 006-3 Plum Fun. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-ADDC-139,2026-06-10T18:33:15.855Z
c_csv_33_5855,Sunburst 006-4 Lavender Lining,Signature Palette,#ACA6B9,#D1CED8,#6F6B78,#F2F1F4,Professional coordinating Sunburst color palette featuring 006-4 Lavender Lining. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-ADDC-140,2026-06-10T18:33:15.855Z
c_csv_34_5855,Sunburst 006-5 Dusty Plum,Signature Palette,#888196,#BDB9C5,#585361,#EDECEF,Professional coordinating Sunburst color palette featuring 006-5 Dusty Plum. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-CAME-143,2026-06-10T18:33:15.855Z
c_csv_35_5855,Sunburst 006-6 Purple Pleasure,Signature Palette,#514B56,#9F9CA2,#343037,#E4E4E5,Professional coordinating Sunburst color palette featuring 006-6 Purple Pleasure. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-CAME-144,2026-06-10T18:33:15.855Z
c_csv_36_5855,Sunburst 007-1 Lavender Life,Signature Palette,#EEE9EA,#F5F2F3,#9A9798,#FCFBFB,Professional coordinating Sunburst color palette featuring 007-1 Lavender Life. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-FILL-160,2026-06-10T18:33:15.855Z
c_csv_37_5855,Sunburst 007-2 Lure of Lavender,Signature Palette,#E9E3E8,#F2EFF2,#979396,#FBFAFB,Professional coordinating Sunburst color palette featuring 007-2 Lure of Lavender. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-FILL-161,2026-06-10T18:33:15.855Z
c_csv_38_5855,Sunburst 007-3 Lavender Luster,Signature Palette,#E1DBE6,#EEEBF1,#928E95,#FAF9FB,Professional coordinating Sunburst color palette featuring 007-3 Lavender Luster. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-GALL-164,2026-06-10T18:33:15.855Z
c_csv_39_5855,Sunburst 007-4 Purple Partner,Signature Palette,#BBB2CF,#D9D4E4,#797386,#F4F3F7,Professional coordinating Sunburst color palette featuring 007-4 Purple Partner. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-META-166,2026-06-10T18:33:15.855Z
c_csv_40_5855,Sunburst 007-5 Purple Wonder,Signature Palette,#877FA5,#BDB8CD,#57526B,#EDEBF1,Professional coordinating Sunburst color palette featuring 007-5 Purple Wonder. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-META-167,2026-06-10T18:33:15.855Z
c_csv_41_5855,Sunburst 007-6 Vintage Grape,Signature Palette,#5D506C,#A59EAE,#3C3446,#E6E4E8,Professional coordinating Sunburst color palette featuring 007-6 Vintage Grape. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-MIXM-168,2026-06-10T18:33:15.855Z
c_csv_42_5855,Sunburst 008-1 Lavender Jewel,Signature Palette,#EBE7EB,#F4F1F4,#989698,#FCFBFC,Professional coordinating Sunburst color palette featuring 008-1 Lavender Jewel. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-MIXM-169,2026-06-10T18:33:15.855Z
c_csv_43_5855,Sunburst 008-2 Lavender Link,Signature Palette,#E3DEEA,#EFECF3,#939098,#FAFAFB,Professional coordinating Sunburst color palette featuring 008-2 Lavender Link. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-MIXN-170,2026-06-10T18:33:15.855Z
c_csv_44_5855,Sunburst 008-3 Love Match,Signature Palette,#DAD4E8,#EAE7F2,#8D8996,#F9F8FB,Professional coordinating Sunburst color palette featuring 008-3 Love Match. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-NEWZ-171,2026-06-10T18:33:15.855Z
c_csv_45_5855,Sunburst 008-4 Purple Mountain,Signature Palette,#CCC3E3,#E2DEEF,#847E93,#F7F6FA,Professional coordinating Sunburst color palette featuring 008-4 Purple Mountain. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-NEWZ-172,2026-06-10T18:33:15.855Z
c_csv_46_5855,Sunburst 008-5 Splash,Signature Palette,#A29ECD,#CBC9E3,#696685,#F1F0F7,Professional coordinating Sunburst color palette featuring 008-5 Splash. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-OSPH-173,2026-06-10T18:33:15.855Z
c_csv_47_5855,Sunburst 008-6 Royal Legacy,Signature Palette,#5B5082,#A49EBA,#3B3454,#E6E4EC,Professional coordinating Sunburst color palette featuring 008-6 Royal Legacy. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-PAIN-177,2026-06-10T18:33:15.855Z
c_csv_48_5855,Sunburst 009-1 Lavender Sparkle,Signature Palette,#E9E8EC,#F2F2F4,#979699,#FBFBFC,Professional coordinating Sunburst color palette featuring 009-1 Lavender Sparkle. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-PAIN-178,2026-06-10T18:33:15.855Z
c_csv_49_5855,Sunburst 009-2 Lavish Lavender,Signature Palette,#D5D3E2,#E7E6EF,#8A8992,#F8F8FA,Professional coordinating Sunburst color palette featuring 009-2 Lavish Lavender. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-PLAS-180,2026-06-10T18:33:15.855Z
c_csv_50_5855,Sunburst 009-3 Lavender Meadow,Signature Palette,#C8C5DB,#E0DFEB,#82808E,#F6F6F9,Professional coordinating Sunburst color palette featuring 009-3 Lavender Meadow. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-RED-188,2026-06-10T18:33:15.855Z
c_csv_51_5855,Sunburst 009-4 Lavender Freeze,Signature Palette,#B5B5D0,#D6D6E5,#757587,#F3F3F7,Professional coordinating Sunburst color palette featuring 009-4 Lavender Freeze. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TEST-199,2026-06-10T18:33:15.855Z
c_csv_52_5855,Sunburst 009-5 Purple Parade,Signature Palette,#7B7CAC,#B6B6D1,#4F506F,#EBEBF2,Professional coordinating Sunburst color palette featuring 009-5 Purple Parade. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-THIN-201,2026-06-10T18:33:15.855Z
c_csv_53_5855,Sunburst 009-6 Princely Purple,Signature Palette,#545072,#A09EB1,#36344A,#E5E4E9,Professional coordinating Sunburst color palette featuring 009-6 Princely Purple. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TOUC-202,2026-06-10T18:33:15.855Z
c_csv_54_5855,Sunburst 010-1 Pale Grey,Ocean Marine & Sky Coasts,#E8E4E6,#F2F0F1,#969495,#FBFAFB,Professional coordinating Sunburst color palette featuring 010-1 Pale Grey. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TRAF-203,2026-06-10T18:33:15.855Z
c_csv_55_5855,Sunburst 010-2 Wisp of Smoke,Ocean Marine & Sky Coasts,#DDD9DE,#ECEAEC,#8F8D90,#F9F9FA,Professional coordinating Sunburst color palette featuring 010-2 Wisp of Smoke. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TRAF-205,2026-06-10T18:33:15.855Z
c_csv_56_5855,Sunburst 010-3 Prelude to Purple,Ocean Marine & Sky Coasts,#C8C5D0,#E0DFE5,#828087,#F6F6F7,Professional coordinating Sunburst color palette featuring 010-3 Prelude to Purple. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TROP-206,2026-06-10T18:33:15.855Z
c_csv_57_5855,Sunburst 010-4 Siberian Iris,Ocean Marine & Sky Coasts,#B4B3C3,#D5D5DE,#75747E,#F3F3F6,Professional coordinating Sunburst color palette featuring 010-4 Siberian Iris. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-TROP-207,2026-06-10T18:33:15.855Z
c_csv_58_5855,Sunburst 010-5 Violet Eyes,Ocean Marine & Sky Coasts,#89879A,#BEBDC7,#595764,#EDEDEF,Professional coordinating Sunburst color palette featuring 010-5 Violet Eyes. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-UB5G-208,2026-06-10T18:33:15.855Z
c_csv_59_5855,Sunburst 010-6 Angie's Eggplant,Ocean Marine & Sky Coasts,#57525E,#A29FA6,#38353D,#E5E5E6,Professional coordinating Sunburst color palette featuring 010-6 Angie's Eggplant. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-UBTA-209,2026-06-10T18:33:15.855Z
c_csv_60_5855,Sunburst 011-1 Glacier Stream,Ocean Marine & Sky Coasts,#E9E5E4,#F2F0F0,#979494,#FBFBFA,Professional coordinating Sunburst color palette featuring 011-1 Glacier Stream. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-UBTA-210,2026-06-10T18:33:15.855Z
c_csv_61_5855,Sunburst 011-2 Moon Dance,Ocean Marine & Sky Coasts,#DCD7DC,#EBE9EB,#8F8B8F,#F9F9F9,Professional coordinating Sunburst color palette featuring 011-2 Moon Dance. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-ZEAL-216,2026-06-10T18:33:15.855Z
c_csv_62_5855,Sunburst 011-3 French Lavender,Ocean Marine & Sky Coasts,#D1CBD3,#E5E2E6,#878389,#F8F7F8,Professional coordinating Sunburst color palette featuring 011-3 French Lavender. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-101,2026-06-10T18:33:15.855Z
c_csv_63_5855,Sunburst 011-4 Hidden Cove,Ocean Marine & Sky Coasts,#A9A8B7,#CFCFD7,#6D6D76,#F2F1F4,Professional coordinating Sunburst color palette featuring 011-4 Hidden Cove. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-102,2026-06-10T18:33:15.855Z
c_csv_64_5855,Sunburst 011-5 Windswept Solitude,Ocean Marine & Sky Coasts,#8C8C9D,#BFBFC9,#5B5B66,#EDEDF0,Professional coordinating Sunburst color palette featuring 011-5 Windswept Solitude. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-103,2026-06-10T18:33:15.855Z
c_csv_65_5855,Sunburst 011-6 Graphite,Ocean Marine & Sky Coasts,#514E58,#9F9DA3,#343239,#E4E4E5,Professional coordinating Sunburst color palette featuring 011-6 Graphite. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3001-105,2026-06-10T18:33:15.855Z
c_csv_66_5855,Sunburst 012-1 Grape Frost,Ocean Marine & Sky Coasts,#E0DCE1,#EDEBEE,#918F92,#FAF9FA,Professional coordinating Sunburst color palette featuring 012-1 Grape Frost. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3211-106,2026-06-10T18:33:15.855Z
c_csv_67_5855,Sunburst 012-2 Idyll Iris,Ocean Marine & Sky Coasts,#D2CFDB,#E6E4EB,#88868E,#F8F7F9,Professional coordinating Sunburst color palette featuring 012-2 Idyll Iris. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3215-107,2026-06-10T18:33:15.855Z
c_csv_68_5855,Sunburst 012-3 Heather Glen,Ocean Marine & Sky Coasts,#BFBDCF,#DBDAE4,#7C7A86,#F5F5F7,Professional coordinating Sunburst color palette featuring 012-3 Heather Glen. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3221-108,2026-06-10T18:33:15.855Z
c_csv_69_5855,Sunburst 012-4 Violet Fog,Ocean Marine & Sky Coasts,#A5A7BB,#CDCED9,#6B6C79,#F1F1F4,Professional coordinating Sunburst color palette featuring 012-4 Violet Fog. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3225-109,2026-06-10T18:33:15.855Z
c_csv_70_5855,Sunburst 012-5 Shady Lady,Ocean Marine & Sky Coasts,#7C7E95,#B6B8C4,#505160,#EBEBEF,Professional coordinating Sunburst color palette featuring 012-5 Shady Lady. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3PCP-111,2026-06-10T18:33:15.855Z
c_csv_71_5855,Sunburst 012-6 Superstition,Ocean Marine & Sky Coasts,#4E4C59,#9D9CA3,#323139,#E4E4E6,Professional coordinating Sunburst color palette featuring 012-6 Superstition. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400C-114,2026-06-10T18:33:15.855Z
c_csv_72_5855,Sunburst 013-1 Iced Platinum,Ocean Marine & Sky Coasts,#E2E2E7,#EFEFF1,#929296,#FAFAFB,Professional coordinating Sunburst color palette featuring 013-1 Iced Platinum. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400C-115,2026-06-10T18:33:15.855Z
c_csv_73_5855,Sunburst 013-2 Lavish Lilac,Ocean Marine & Sky Coasts,#D8D8E4,#E9E9F0,#8C8C94,#F9F9FA,Professional coordinating Sunburst color palette featuring 013-2 Lavish Lilac. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400W-116,2026-06-10T18:33:15.855Z
c_csv_74_5855,Sunburst 013-3 Iris Anthem,Ocean Marine & Sky Coasts,#C8CBE0,#E0E2ED,#828391,#F6F7FA,Professional coordinating Sunburst color palette featuring 013-3 Iris Anthem. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400W-117,2026-06-10T18:33:15.855Z
c_csv_75_5855,Sunburst 013-4 Iris Interlude,Ocean Marine & Sky Coasts,#9FA6C9,#CACEE1,#676B82,#F0F1F6,Professional coordinating Sunburst color palette featuring 013-4 Iris Interlude. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-421C-118,2026-06-10T18:33:15.855Z
c_csv_76_5855,Sunburst 013-5 Grape Orbit,Ocean Marine & Sky Coasts,#7E88AD,#B8BDD1,#515870,#EBEDF2,Professional coordinating Sunburst color palette featuring 013-5 Grape Orbit. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-421C-119,2026-06-10T18:33:15.855Z
c_csv_77_5855,Sunburst 013-6 Royal Raisa,Ocean Marine & Sky Coasts,#51506F,#9F9EAF,#343448,#E4E4E9,Professional coordinating Sunburst color palette featuring 013-6 Royal Raisa. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4221-120,2026-06-10T18:33:15.855Z
c_csv_78_5855,Sunburst 014-1 Glimpse of Lavender,Ocean Marine & Sky Coasts,#E2E5EB,#EFF0F4,#929498,#FAFBFC,Professional coordinating Sunburst color palette featuring 014-1 Glimpse of Lavender. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-422W-121,2026-06-10T18:33:15.855Z
c_csv_79_5855,Sunburst 014-2 Spring Lilac,Ocean Marine & Sky Coasts,#D9DCE9,#EAEBF2,#8D8F97,#F9F9FB,Professional coordinating Sunburst color palette featuring 014-2 Spring Lilac. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4231-122,2026-06-10T18:33:15.855Z
c_csv_80_5855,Sunburst 014-3 Iris Bud,Ocean Marine & Sky Coasts,#C7CEE7,#E0E4F1,#818596,#F6F7FB,Professional coordinating Sunburst color palette featuring 014-3 Iris Bud. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-423W-123,2026-06-10T18:33:15.855Z
c_csv_81_5855,Sunburst 014-4 Iris by the Pond,Ocean Marine & Sky Coasts,#BBC3E3,#D9DEEF,#797E93,#F4F6FA,Professional coordinating Sunburst color palette featuring 014-4 Iris by the Pond. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4231-124,2026-06-10T18:33:15.855Z
c_csv_82_5855,Sunburst 014-5 Violets are Blue,Ocean Marine & Sky Coasts,#8A99CC,#BEC6E2,#596384,#EDEFF7,Professional coordinating Sunburst color palette featuring 014-5 Violets are Blue. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-5GAL-126,2026-06-10T18:33:15.855Z
c_csv_83_5855,Sunburst 014-6 Periwinkle Place,Ocean Marine & Sky Coasts,#51578E,#9FA2C0,#34385C,#E4E5EE,Professional coordinating Sunburst color palette featuring 014-6 Periwinkle Place. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-621-127,2026-06-10T18:33:15.855Z
c_csv_84_5855,Sunburst 015-1 Ice Age Glacier,Ocean Marine & Sky Coasts,#F0EFEB,#F6F6F4,#9C9B98,#FCFCFC,Professional coordinating Sunburst color palette featuring 015-1 Ice Age Glacier. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-622-128,2026-06-10T18:33:15.855Z
